Doc ID,Title,Keywords
1,Install Marked Crosswalks,pedestrian crossing crosswalk zebra ladder pedestrian safety
2,Add Pedestrian Crossing Signals,pedestrian signal crossing signal countdown pedestrian phase
3,Install Pedestrian Refuge Islands,pedestrian refuge island crossing median pedestrian safety
4,Curb Extensions (Bulb-outs),curb extension bulb out pedestrian visibility short crossing
5,Leading Pedestrian Interval (LPI),leading pedestrian interval LPI turning conflict pedestrian signal
6,Protected Left-Turn Phase,protected left turn signal arrow turning conflict intersection
7,Dedicated Left-Turn Lane,turn lane left turn lane traffic separation intersection
8,Restrict Left Turns,left turn restriction prohibited turn crash prevention
9,Improve Signal Timing,signal timing rear end crash braking signal coordination
10,Install Advance Warning Signals,advance warning signal flashing intersection warning
11,Speed Humps or Speed Tables,speed hump speed table traffic calming speeding
12,Reduce Speed Limits,speed limit reduction speed safety urban traffic
13,Protected Bike Lanes,protected bike lane cycling safety separation
14,Bike Signal Phases,bike signal bicycle phase cycling intersection
15,Improve Street Lighting,street lighting night visibility crash prevention
16,Remove Visual Obstructions,visibility sightline obstruction intersection safety
17,Convert to Roundabout,roundabout intersection redesign angle crash reduction
18,Add All-Way Stop Control,all way stop stop control intersection safety
19,Install Red-Light Speed Cameras,red light camera enforcement traffic violation
20,Add Warning Signage,warning sign intersection hazard signage
21,Add Bike Box,bike bicycle intersection box left turn visibility green
22,Raised Crosswalk ,pedestrian crossing crosswalk raised saftey speration visibility
23,High-Visibility Crosswalk Markings,high visibility crosswalk ladder zebra pedestrian crossing safety markings
24,Rectangular Rapid Flashing Beacons (RRFB),yellow light pedestrian crossing flashing visilibility saftey driver awareness 
25,Corner Tightening / Reduced Turning Radius,corner tightening turning radius slow turning vehicles pedestrian safety
26,Turn Calming,turn calming slow vehicle turning speed pedestrian bicycle safety
27,Advance Stop Line for Vehicles,advance stop line pedestrian visibility crossing safety stop bar
28,Dynamic Speed Feedback Signs,dynamic speed display radar speed feedback sign traffic calming
29,No-Turn-on-Red Restrictions,no turn on red pedestrian conflict turning crash prevention
30,Protected Right-Turn Channelization,right turn channelization island turn separation traffic safety
31,Intersection Daylighting,daylighting intersection parking removal visibility pedestrian crossing
32,High-Friction Surface Treatment,high friction pavement skid resistance crash reduction intersection
